feature_set,n_features,model,calibration,Delta,mean,mean_err
12,12,SVM (RBF),uncalibrated,-0.118,0.719563507849723,0.000754559975683938
12,12,SVM (RBF),uncalibrated,-0.116,0.714781484365592,0.000600860267725512
12,12,SVM (RBF),uncalibrated,-0.114,0.206655693239879,0.00521142193188461
12,12,SVM (RBF),uncalibrated,-0.112,0.210996757967079,0.00586799327786319
12,12,SVM (RBF),uncalibrated,-0.11,0.204657587912295,0.00297074051993489
12,12,SVM (RBF),uncalibrated,-0.108,0.200434181117457,0.00240789786321775
12,12,Neural Network,calibrated,-0.128,0.999750138888968,2.38072234256504E-10
12,12,Neural Network,calibrated,-0.126,0.999750128704038,4.43127393136808E-10
12,12,Neural Network,calibrated,-0.124,0.999750120019923,7.10355134757845E-10
12,12,Neural Network,calibrated,-0.122,0.999750092150517,1.69272315106594E-09
12,12,Neural Network,calibrated,-0.12,0.999750069608235,2.2895636781789E-09
12,12,Neural Network,calibrated,-0.118,0.999750057414321,3.63296796467782E-09
12,12,Neural Network,calibrated,-0.116,0.99974994004817,7.97614643023966E-09
12,12,Neural Network,calibrated,-0.114,0.000831895819068599,5.26067912494736E-07
12,12,Neural Network,calibrated,-0.112,0.000835743403213226,4.03377641881161E-06
12,12,Neural Network,calibrated,-0.11,0.00083168777258073,2.7886073606652E-07
12,12,Neural Network,calibrated,-0.108,0.000831377649186946,1.57414029305359E-07
12,12,Neural Network,uncalibrated,-0.128,0.999999408934327,1.37512248131719E-08
12,12,Neural Network,uncalibrated,-0.126,0.999999143678802,1.97778947995124E-08
12,12,Neural Network,uncalibrated,-0.124,0.999998733983587,3.28108367585885E-08
12,12,Neural Network,uncalibrated,-0.122,0.999998054447083,6.52856878109376E-08
12,12,Neural Network,uncalibrated,-0.12,0.999997139153724,9.17611711125307E-08
12,12,Neural Network,uncalibrated,-0.118,0.999995803938979,1.73065751200416E-07
12,12,Neural Network,uncalibrated,-0.116,0.999995803912204,1.39328955706119E-07
12,12,Neural Network,uncalibrated,-0.114,6.49819330427113E-05,2.73639398499684E-05
12,12,Neural Network,uncalibrated,-0.112,0.000133002866858701,8.21977472956651E-05
12,12,Neural Network,uncalibrated,-0.11,5.0656258241364E-05,1.28287436768259E-05
12,12,Neural Network,uncalibrated,-0.108,4.02560125388613E-05,1.0782242249033E-05
