feature_set,n_features,model,calibration,Delta,chi,chi_err
20,20,SVM (RBF),uncalibrated,-0.128,0.000103478257290903,1.7966249387331E-06
20,20,SVM (RBF),uncalibrated,-0.126,9.65543449614574E-05,2.48537996163199E-06
20,20,SVM (RBF),uncalibrated,-0.124,0.000113698473552365,6.30853823306002E-06
20,20,SVM (RBF),uncalibrated,-0.122,0.000140585727031614,7.80801680247776E-06
20,20,SVM (RBF),uncalibrated,-0.12,0.000176060415532851,1.52519935889184E-05
20,20,SVM (RBF),uncalibrated,-0.118,0.000268613069073745,2.043862795356E-05
20,20,SVM (RBF),uncalibrated,-0.116,0.000189407480451412,1.87272713401324E-05
20,20,SVM (RBF),uncalibrated,-0.114,0.000961752681805872,0.000127974481391106
20,20,SVM (RBF),uncalibrated,-0.112,0.00148131342964752,0.000617054264957462
20,20,SVM (RBF),uncalibrated,-0.11,0.000942017228603098,0.000166250468719546
20,20,SVM (RBF),uncalibrated,-0.108,0.000768713589395776,8.02345403056755E-05
20,20,Neural Network,calibrated,-0.128,2.5379922266025E-13,1.56000068150077E-13
20,20,Neural Network,calibrated,-0.126,3.53803233023344E-12,2.90461517540922E-12
20,20,Neural Network,calibrated,-0.124,1.49246549810381E-11,1.27921873157838E-11
20,20,Neural Network,calibrated,-0.122,1.69595980088462E-09,1.58592223915796E-09
20,20,Neural Network,calibrated,-0.12,1.40914190849464E-07,1.40469177678872E-07
20,20,Neural Network,calibrated,-0.118,1.73760745213481E-06,1.73305862111648E-06
20,20,Neural Network,calibrated,-0.116,6.09607034295299E-06,4.57688094598034E-06
20,20,Neural Network,calibrated,-0.114,1.68799865424886E-06,1.68626102424912E-06
20,20,Neural Network,calibrated,-0.112,2.34942457164505E-05,2.34815455155052E-05
20,20,Neural Network,calibrated,-0.11,2.24168016720927E-09,2.196390667868E-09
20,20,Neural Network,calibrated,-0.108,2.56347637351899E-12,1.12554966059923E-12
20,20,Neural Network,uncalibrated,-0.128,3.77154456877513E-10,3.49631732568796E-10
20,20,Neural Network,uncalibrated,-0.126,3.93988608579811E-11,1.30032799837766E-11
20,20,Neural Network,uncalibrated,-0.124,5.01984973573424E-11,1.99035131744925E-11
