feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
12,12,KNN,ball_tree,101,uncalibrated,1.0,-0.11499890090126097,1.100306757072141e-06,-0.112,11,0.566,0.422,1.022,0.0084,0.0082,0.00016,2.026
12,12,KNN,ball_tree,151,uncalibrated,1.0,-0.11499537229547559,4.6491201735848545e-06,-0.112,11,0.61,0.484,1.273,0.008,0.0077,0.00016,2.383
12,12,KNN,ball_tree,201,uncalibrated,1.0,-0.11499155110477835,7.97669815596149e-06,-0.112,11,0.887,0.418,1.13,0.0076,0.0073,0.00015,2.451
12,12,KNN,brute,1,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.895,0.442,0.932,0.008,0.0078,0.00014,4.285
12,12,KNN,brute,3,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.506,0.412,0.907,0.0084,0.0079,0.00013,3.841
12,12,KNN,brute,5,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.767,0.448,0.954,0.0079,0.0077,0.00019,4.184
12,12,KNN,brute,7,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.645,0.416,0.857,0.0081,0.0078,0.00021,3.934
12,12,KNN,brute,9,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.871,0.445,0.933,0.0079,0.0077,0.00014,4.266
12,12,KNN,brute,11,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.484,0.447,0.943,0.008,0.0077,0.00014,3.89
12,12,KNN,brute,13,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.787,0.426,0.913,0.008,0.0076,0.0002,4.141
12,12,KNN,brute,15,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.891,0.444,0.936,0.0079,0.008,0.00015,4.288
12,12,KNN,brute,17,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.449,0.444,0.936,0.0078,0.0077,0.00014,3.844
12,12,KNN,brute,19,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.488,0.414,0.944,0.0074,0.0074,0.00014,3.86
12,12,KNN,brute,21,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.619,0.442,1.005,0.0078,0.0077,0.00014,4.082
12,12,KNN,brute,23,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.697,0.445,1.011,0.0085,0.008,0.00015,4.17
