transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03832,0.9695033,0.021363830386139666,0.020774520675581186,18.0,0.021652207206985814,0.01637561409030977,18.0,0.032599275594416714
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03834,0.96949435,0.017520084420152203,0.01964157823092013,18.0,0.018060403373853357,0.01583098516966023,18.0,0.028239937760063224
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03836,0.9694853999999999,0.01416484889200147,0.018511130464287907,18.0,0.014863092423324668,0.015223020392919675,18.0,0.024575978424905442
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03838,0.9694764499999999,0.01125836250313363,0.017390784640186473,18.0,0.012043057004688187,0.014564117768189855,18.0,0.0214878413777619
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0384,0.9694675,0.00876083840706799,0.016287589018431577,18.0,0.009578995532391263,0.013866257354432573,18.0,0.018876891506139117
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03842,0.96945855,0.006633066369955098,0.0152079896479829,18.0,0.007446613844992782,0.013140847695080046,18.0,0.016661923397319194
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03844,0.9694496,0.004836937923372852,0.014157776281191093,18.0,0.005619634562379619,0.012398576795553442,18.0,0.01477615309049539
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03846,0.96944065,0.0034256565551228652,0.013149534383365418,21.0,0.004070704188058858,0.011649277621204603,18.0,0.013164669794051623
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03848,0.9694317,0.0021497669577420758,0.01220196097719808,21.0,0.0028403923310293747,0.010915288874085211,21.0,0.01178230421404042
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0385,0.96942275,0.0011076057112385674,0.011289666359985734,21.0,0.001736282289544984,0.010201446136841173,21.0,0.010591861918684976
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03852,0.9694138,0.0002685628785442625,0.010416593961549592,21.0,0.0008335087603043335,0.009498346726569537,21.0,0.009562669211511958
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03854,0.96940485,-0.00039551317484724097,0.009585758686029788,21.0,0.00010678307457495304,0.008812521937603063,21.0,0.008669382107827896
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03856,0.9693959,-0.0009102363542405961,0.008799290299179764,21.0,-0.00046759788109849293,0.008149326188736428,21.0,0.007891014127397261
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03858,0.96938695,-0.0012986716504459128,0.00805849769083477,21.0,-0.0009115154350083574,0.007512989239138098,21.0,0.0072101444440792264
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0386,0.969378,-0.0015813819866574365,0.007363948123421626,21.0,-0.001244890766831189,0.0069066951441353825,21.0,0.0066122737223430015
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03862,0.9693706,-0.0017593181306813231,0.006780707814820423,21.0,-0.0014639384472352017,0.00639068612589598,21.0,0.006136812343073591
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03864,0.9693632,-0.001878563771789752,0.006234095600349475,21.0,-0.0016202310830230968,0.005901645016899884,21.0,0.005710847980960029
