transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
AC,Neural Network,30,uncalibrated,K0_crit,4.77503423846111,4.77,0.005034238461110618,0.0023307385197408
AC,Neural Network,30,uncalibrated,K0_crit,4.77503423846111,4.79,0.014965761538889844,0.0044094332100914
AC,Neural Network,30,uncalibrated,K0_crit,4.77503423846111,4.76,0.015034238461110405,0.0056651857654235
AC,Neural Network,30,uncalibrated,K0_crit,4.77503423846111,4.75,0.025034238461110192,0.0074974639763387
AC,Neural Network,30,calibrated,K0_crit,4.78737893472454,4.79,0.0026210652754601327,0.001831617489987
AC,Neural Network,30,calibrated,K0_crit,4.78737893472454,4.78,0.007378934724539654,0.0020921009023255
AC,Neural Network,30,calibrated,K0_crit,4.78737893472454,4.77,0.01737893472454033,0.0049131948522894
AC,Neural Network,30,calibrated,K0_crit,4.78737893472454,4.81,0.022621065275459706,0.0037078743639081
AC,Neural Network,30,calibrated,K0_crit,4.78737893472454,4.76,0.027378934724540116,0.0027242646463838
AC,Neural Network,20,uncalibrated,K0_crit,4.77544188071748,4.78,0.0045581192825201455,0.0015083642849844
AC,Neural Network,20,uncalibrated,K0_crit,4.77544188071748,4.77,0.0054418807174805295,0.0022486011815217
AC,Neural Network,20,uncalibrated,K0_crit,4.77544188071748,4.79,0.014558119282519932,0.0045569094192306
AC,Neural Network,20,uncalibrated,K0_crit,4.77544188071748,4.76,0.015441880717480316,0.0065988805706855
AC,Neural Network,20,uncalibrated,K0_crit,4.77544188071748,4.75,0.025441880717480103,0.0067022851963206
AC,Neural Network,20,calibrated,K0_crit,4.76112297420038,4.76,0.0011229742003804333,0.0024188875783657
AC,Neural Network,20,calibrated,K0_crit,4.76112297420038,4.77,0.008877025799619354,0.0028383955908735
AC,Neural Network,20,calibrated,K0_crit,4.76112297420038,4.75,0.01112297420038022,0.0046242466254377
AC,Neural Network,20,calibrated,K0_crit,4.76112297420038,4.78,0.01887702579962003,0.003098578586061
AC,Neural Network,20,calibrated,K0_crit,4.76112297420038,4.74,0.021122974200380007,0.0038336740888558
AC,Neural Network,12,uncalibrated,K0_crit,4.75700182095649,4.76,0.00299817904350963,0.0025542494627742
AC,Neural Network,12,uncalibrated,K0_crit,4.75700182095649,4.75,0.007001820956490157,0.005311157914646
AC,Neural Network,12,uncalibrated,K0_crit,4.75700182095649,4.77,0.012998179043509417,0.0068491974840889
AC,Neural Network,12,uncalibrated,K0_crit,4.75700182095649,4.74,0.017001820956489944,0.0055812098942331
AC,Neural Network,12,uncalibrated,K0_crit,4.75700182095649,4.78,0.022998179043510092,0.0089967540678064
AC,Neural Network,12,calibrated,K0_crit,4.79359877976355,4.79,0.003598779763549942,0.0037183466970802
AC,Neural Network,12,calibrated,K0_crit,4.79359877976355,4.78,0.013598779763549729,0.0029024934358467
AC,Neural Network,12,calibrated,K0_crit,4.79359877976355,4.81,0.016401220236449632,0.0035970865206721
AC,Neural Network,12,calibrated,K0_crit,4.79359877976355,4.77,0.023598779763550404,0.0052887369442777
AC,Neural Network,12,calibrated,K0_crit,4.79359877976355,4.82,0.026401220236450307,0.0059965943561254
BCb,Logistic Regression,30,uncalibrated,Delta_crit,0.0379105610083693,0.0378,0.00011056100836930038,0.0154344486070692
BCb,Logistic Regression,30,uncalibrated,Delta_crit,0.0379105610083693,0.0382,0.0002894389916306972,0.0158512552491843
BCb,Logistic Regression,30,uncalibrated,Delta_crit,0.0379105610083693,0.0374,0.000510561008369298,0.0060302635125353
BCb,Logistic Regression,30,uncalibrated,Delta_crit,0.0379105610083693,0.0386,0.0006894389916307017,2.09567250746588e-05
BCb,Logistic Regression,30,uncalibrated,Delta_crit,0.0379105610083693,0.037,0.0009105610083693025,2.62667194057071e-06
BCb,Logistic Regression,30,calibrated,Delta_crit,0.0379347080808661,0.0378,0.00013470808086610275,0.0085777921930413
BCb,Logistic Regression,30,calibrated,Delta_crit,0.0379347080808661,0.0382,0.0002652919191338948,0.0098202262830663
BCb,Logistic Regression,30,calibrated,Delta_crit,0.0379347080808661,0.0374,0.0005347080808661003,0.0043830329122042
