stride,feature_set,n_features,model,Delta,chi,chi_err
250,30,30,BayesianGMM,-0.108,0,0
5000,20,20,KMeans,-0.128,0,0
5000,20,20,KMeans,-0.126,0,0
5000,20,20,KMeans,-0.124,0,0
5000,20,20,KMeans,-0.122,0,0
5000,20,20,KMeans,-0.12,0,0
5000,20,20,KMeans,-0.118,0,0
5000,20,20,KMeans,-0.116,0,0
5000,20,20,KMeans,-0.114,0.35,0.2
5000,20,20,KMeans,-0.112,0.3,0.0816496580927726
5000,20,20,KMeans,-0.11,0.25,0.25
5000,20,20,KMeans,-0.108,0.25,0.25
1000,20,20,KMeans,-0.128,0,0
1000,20,20,KMeans,-0.126,0,0
1000,20,20,KMeans,-0.124,0,0
1000,20,20,KMeans,-0.122,0,0
1000,20,20,KMeans,-0.12,0,0
1000,20,20,KMeans,-0.118,0,0
1000,20,20,KMeans,-0.116,0,0
1000,20,20,KMeans,-0.114,0.220644589338824,0.0801508146014816
1000,20,20,KMeans,-0.112,0.246739130434783,0.0619619699032053
1000,20,20,KMeans,-0.11,0.251724137931034,0.105263157894737
1000,20,20,KMeans,-0.108,0.19127363864206,0.0776019915454805
500,20,20,KMeans,-0.128,0,0
500,20,20,KMeans,-0.126,0,0
500,20,20,KMeans,-0.124,0,0
500,20,20,KMeans,-0.122,0,0
500,20,20,KMeans,-0.12,0,0
500,20,20,KMeans,-0.118,0,0
500,20,20,KMeans,-0.116,0,0
500,20,20,KMeans,-0.114,0.232678432678433,0.0782348342546494
500,20,20,KMeans,-0.112,0.301289294509633,0.0324786324786325
500,20,20,KMeans,-0.11,0.251789077212806,0.102308263534739
500,20,20,KMeans,-0.108,0.313422949542178,0.0551724137931034
250,20,20,KMeans,-0.128,0,0
250,20,20,KMeans,-0.126,0,0
250,20,20,KMeans,-0.124,0,0
250,20,20,KMeans,-0.122,0,0
250,20,20,KMeans,-0.12,0,0
250,20,20,KMeans,-0.118,0,0
250,20,20,KMeans,-0.116,0,0
250,20,20,KMeans,-0.114,0.241898780105468,0.0874601589173783
250,20,20,KMeans,-0.112,0.30211502322448,0.0298523206751055
250,20,20,KMeans,-0.11,0.27779048328192,0.112153424648241
250,20,20,KMeans,-0.108,0.327158999192897,0.0384180790960452
100,20,20,KMeans,-0.128,0,0
100,20,20,KMeans,-0.126,0,0
100,20,20,KMeans,-0.124,0,0
100,20,20,KMeans,-0.122,0,0
100,20,20,KMeans,-0.12,0,0
100,20,20,KMeans,-0.118,0,0
100,20,20,KMeans,-0.116,0,0
100,20,20,KMeans,-0.114,0.252210090155463,0.0653478787390981
100,20,20,KMeans,-0.112,0.307319316762183,0.0289507765942803
100,20,20,KMeans,-0.11,0.280250135852058,0.0878817724191522
100,20,20,KMeans,-0.108,0.322362535820371,0.0293512304250559
50,20,20,KMeans,-0.128,0,0
50,20,20,KMeans,-0.126,0,0
50,20,20,KMeans,-0.124,0,0
50,20,20,KMeans,-0.122,0,0
50,20,20,KMeans,-0.12,0,0
50,20,20,KMeans,-0.118,0,0
50,20,20,KMeans,-0.116,0,0
50,20,20,KMeans,-0.114,0.244302213524869,0.0664734448917747
50,20,20,KMeans,-0.112,0.30458044108602,0.0287946938886443
50,20,20,KMeans,-0.11,0.275838692446196,0.0995287839395679
50,20,20,KMeans,-0.108,0.325449718315364,0.0318394648829432
10,20,20,KMeans,-0.128,0,0
10,20,20,KMeans,-0.126,0,0
10,20,20,KMeans,-0.124,0,0
10,20,20,KMeans,-0.122,0,0
10,20,20,KMeans,-0.12,0,0
10,20,20,KMeans,-0.118,0,0
10,20,20,KMeans,-0.116,0,0
10,20,20,KMeans,-0.114,0.243571915427546,0.0664151522809809
10,20,20,KMeans,-0.112,0.304474796807095,0.0277553893939737
10,20,20,KMeans,-0.11,0.273001694244922,0.102156848125143
10,20,20,KMeans,-0.108,0.323945083169447,0.0342059150544808
1,20,20,KMeans,-0.128,0,0
1,20,20,KMeans,-0.126,0,0
1,20,20,KMeans,-0.124,0,0
1,20,20,KMeans,-0.122,0,0
1,20,20,KMeans,-0.12,0,0
1,20,20,KMeans,-0.118,0,0
1,20,20,KMeans,-0.116,0,0
1,20,20,KMeans,-0.114,0.244447996100001,0.0662893355006978
1,20,20,KMeans,-0.112,0.303739287916483,0.0274350794281169
1,20,20,KMeans,-0.11,0.273013985966974,0.101645969701279
1,20,20,KMeans,-0.108,0.323046226653081,0.0339972887081361
5000,20,20,Agglomerative,-0.128,0,0
5000,20,20,Agglomerative,-0.126,0,0
5000,20,20,Agglomerative,-0.124,0,0
5000,20,20,Agglomerative,-0.122,0,0
5000,20,20,Agglomerative,-0.12,0,0
5000,20,20,Agglomerative,-0.118,0,0
5000,20,20,Agglomerative,-0.116,0,0
5000,20,20,Agglomerative,-0.114,0.166666666666666,0.166666666666667
5000,20,20,Agglomerative,-0.112,0.25,0.25
5000,20,20,Agglomerative,-0.11,0.2,0.2
5000,20,20,Agglomerative,-0.108,0.25,0.25
1000,20,20,Agglomerative,-0.128,0,0
1000,20,20,Agglomerative,-0.126,0,0
1000,20,20,Agglomerative,-0.124,0,0
1000,20,20,Agglomerative,-0.122,0,0
1000,20,20,Agglomerative,-0.12,0,0
1000,20,20,Agglomerative,-0.118,0,0
1000,20,20,Agglomerative,-0.116,0,0
1000,20,20,Agglomerative,-0.114,0,0
1000,20,20,Agglomerative,-0.112,0,0
1000,20,20,Agglomerative,-0.11,0,0
1000,20,20,Agglomerative,-0.108,0,0
500,20,20,Agglomerative,-0.128,0,0
500,20,20,Agglomerative,-0.126,0,0
500,20,20,Agglomerative,-0.124,0,0
500,20,20,Agglomerative,-0.122,0,0
500,20,20,Agglomerative,-0.12,0,0
500,20,20,Agglomerative,-0.118,0,0
500,20,20,Agglomerative,-0.116,0,0
500,20,20,Agglomerative,-0.114,0,0
500,20,20,Agglomerative,-0.112,0,0
500,20,20,Agglomerative,-0.11,0,0
500,20,20,Agglomerative,-0.108,0,0
250,20,20,Agglomerative,-0.128,0,0
250,20,20,Agglomerative,-0.126,0,0
250,20,20,Agglomerative,-0.124,0,0
250,20,20,Agglomerative,-0.122,0,0
250,20,20,Agglomerative,-0.12,0,0
250,20,20,Agglomerative,-0.118,0,0
250,20,20,Agglomerative,-0.116,0,0
250,20,20,Agglomerative,-0.114,0,0
250,20,20,Agglomerative,-0.112,0,0
250,20,20,Agglomerative,-0.11,0,0
250,20,20,Agglomerative,-0.108,0,0
100,20,20,Agglomerative,-0.128,0,0
100,20,20,Agglomerative,-0.126,0,0
100,20,20,Agglomerative,-0.124,0,0
100,20,20,Agglomerative,-0.122,0,0
100,20,20,Agglomerative,-0.12,0,0
100,20,20,Agglomerative,-0.118,0,0
100,20,20,Agglomerative,-0.116,0,0
100,20,20,Agglomerative,-0.114,0,0
