stride,feature_set,n_features,model,Delta,chi,chi_err
5000,30,30,BayesianGMM,0.0382,0.250193934003903,0.0868520498048912
5000,30,30,BayesianGMM,0.0386,0.0714243679686923,0.0714244534892921
5000,30,30,BayesianGMM,0.039,0,0
5000,30,30,BayesianGMM,0.0394,0,0
5000,30,30,BayesianGMM,0.0398,0,0
5000,30,30,BayesianGMM,0.0402,0,0
5000,30,30,BayesianGMM,0.041,0,0
1000,30,30,BayesianGMM,0.036,0,0
1000,30,30,BayesianGMM,0.0366,0,0
1000,30,30,BayesianGMM,0.037,0,0
1000,30,30,BayesianGMM,0.0374,3.46047447032578E-08,3.46045287102211E-08
1000,30,30,BayesianGMM,0.0378,0.048901723759722,0.0335482146940491
1000,30,30,BayesianGMM,0.0382,0.214990965615527,0.0289020541953299
1000,30,30,BayesianGMM,0.0386,0.0244158769995717,0.0170134341391347
1000,30,30,BayesianGMM,0.039,0,0
1000,30,30,BayesianGMM,0.0394,0,0
1000,30,30,BayesianGMM,0.0398,0,0
1000,30,30,BayesianGMM,0.0402,0,0
1000,30,30,BayesianGMM,0.041,0,0
5000,20,20,KMeans,0.036,0,0
5000,20,20,KMeans,0.0366,0,0
5000,20,20,KMeans,0.037,0,0
5000,20,20,KMeans,0.0374,0,0
5000,20,20,KMeans,0.0378,0.0714285714285709,0.0714285714285715
5000,20,20,KMeans,0.0382,0.226773226773227,0.0783717185724315
5000,20,20,KMeans,0.0386,0.1,0.1
5000,20,20,KMeans,0.039,0,0
5000,20,20,KMeans,0.0394,0,0
5000,20,20,KMeans,0.0398,0,0
5000,20,20,KMeans,0.0402,0,0
5000,20,20,KMeans,0.041,0,0
1000,20,20,KMeans,0.036,0,0
1000,20,20,KMeans,0.0366,0,0
1000,20,20,KMeans,0.037,0,0
1000,20,20,KMeans,0.0374,0,0
1000,20,20,KMeans,0.0378,0.0303125445982589,0.0293706293706294
1000,20,20,KMeans,0.0382,0.217773682569538,0.0402523461707995
1000,20,20,KMeans,0.0386,0,0
1000,20,20,KMeans,0.039,0,0
1000,20,20,KMeans,0.0394,0,0
1000,20,20,KMeans,0.0398,0,0
1000,20,20,KMeans,0.0402,0,0
1000,20,20,KMeans,0.041,0,0
500,20,20,KMeans,0.036,0,0
500,20,20,KMeans,0.0366,0,0
500,20,20,KMeans,0.037,0,0
500,20,20,KMeans,0.0374,0,0
500,20,20,KMeans,0.0378,0.0299233666537111,0.022135234414099
500,20,20,KMeans,0.0382,0.244372620679153,0.0422727272727272
500,20,20,KMeans,0.0386,0.0103092783505155,0.0103092783505155
500,20,20,KMeans,0.039,0,0
500,20,20,KMeans,0.0394,0,0
500,20,20,KMeans,0.0398,0,0
500,20,20,KMeans,0.0402,0,0
500,20,20,KMeans,0.041,0,0
250,20,20,KMeans,0.036,0,0
250,20,20,KMeans,0.0366,0,0
250,20,20,KMeans,0.037,0,0
250,20,20,KMeans,0.0374,0,0
250,20,20,KMeans,0.0378,0.0224409712954739,0.014633022237585
250,20,20,KMeans,0.0382,0.242592190274682,0.0449120603015075
250,20,20,KMeans,0.0386,0.015308046572414,0.0124350641760932
250,20,20,KMeans,0.039,0,0
250,20,20,KMeans,0.0394,0,0
250,20,20,KMeans,0.0398,0,0
250,20,20,KMeans,0.0402,0,0
250,20,20,KMeans,0.041,0,0
100,20,20,KMeans,0.036,0,0
100,20,20,KMeans,0.0366,0,0
100,20,20,KMeans,0.037,0,0
100,20,20,KMeans,0.0374,0,0
100,20,20,KMeans,0.0378,0.0210463242705789,0.0122342658368997
100,20,20,KMeans,0.0382,0.254490837530918,0.0385911823647294
100,20,20,KMeans,0.0386,0.0119417693613542,0.00789401769160697
100,20,20,KMeans,0.039,0,0
100,20,20,KMeans,0.0394,0,0
100,20,20,KMeans,0.0398,0,0
100,20,20,KMeans,0.0402,0,0
100,20,20,KMeans,0.041,0,0
50,20,20,KMeans,0.036,0,0
50,20,20,KMeans,0.0366,0,0
50,20,20,KMeans,0.037,0,0
50,20,20,KMeans,0.0374,0,0
50,20,20,KMeans,0.0378,0.0195335667880803,0.0113833847330013
50,20,20,KMeans,0.0382,0.257919931937941,0.0394094094094094
50,20,20,KMeans,0.0386,0.0145467579038867,0.0112653442491414
50,20,20,KMeans,0.039,0,0
50,20,20,KMeans,0.0394,0,0
50,20,20,KMeans,0.0398,0,0
50,20,20,KMeans,0.0402,0,0
50,20,20,KMeans,0.041,0,0
10,20,20,KMeans,0.036,0,0
10,20,20,KMeans,0.0366,0,0
10,20,20,KMeans,0.037,0,0
10,20,20,KMeans,0.0374,0,0
10,20,20,KMeans,0.0378,0.0167728282626561,0.010332521208772
10,20,20,KMeans,0.0382,0.262931342794211,0.0384301860372075
10,20,20,KMeans,0.0386,0.0156984741528678,0.0105189805029867
10,20,20,KMeans,0.039,0,0
10,20,20,KMeans,0.0394,0,0
10,20,20,KMeans,0.0398,0,0
10,20,20,KMeans,0.0402,0,0
10,20,20,KMeans,0.041,0,0
