feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
12,12,KNN,auto,33,uncalibrated,1,0.0379804142143062,2.74742695242215E-05,0.0378,12,0.54,0.742,1.284,0.0106,0.0093,0.00018,2.586
12,12,KNN,auto,35,uncalibrated,1,0.0379794666168508,2.76080701610879E-05,0.0378,12,0.337,0.831,1.428,0.0098,0.0096,0.00016,2.615
12,12,KNN,auto,37,uncalibrated,1,0.0379795108421797,2.76007888827592E-05,0.0378,12,0.566,0.824,1.823,0.0096,0.0087,0.00019,3.231
12,12,KNN,auto,39,uncalibrated,1,0.0379784243024949,2.77183451519212E-05,0.0378,12,0.539,0.539,1.272,0.0089,0.0087,0.00017,2.368
12,12,KNN,auto,41,uncalibrated,1,0.0379778557635845,2.78129705473458E-05,0.0378,12,0.561,0.666,1.68,0.0087,0.0086,0.00017,2.924
12,12,KNN,auto,43,uncalibrated,1,0.0379773963410514,2.78907557056959E-05,0.0378,12,0.535,0.616,1.361,0.0097,0.0108,0.00021,2.533
12,12,KNN,auto,45,uncalibrated,1,0.0379769351490111,2.79621857936527E-05,0.0378,12,0.581,0.738,1.486,0.01,0.0093,0.00017,2.824
12,12,KNN,auto,47,uncalibrated,1,0.0379765594695568,2.79922385463099E-05,0.0378,12,0.379,1.025,1.402,0.0108,0.0115,0.00017,2.828
12,12,KNN,auto,49,uncalibrated,1,0.0379761696866422,2.79862922148562E-05,0.0378,12,0.57,0.755,1.563,0.0102,0.0094,0.00018,2.907
12,12,KNN,auto,51,uncalibrated,1,0.0379757822236138,2.80713763083181E-05,0.0378,12,0.449,0.58,1.375,0.0098,0.0096,0.00018,2.424
12,12,KNN,auto,61,uncalibrated,1,0.0379742295036234,2.82906273494142E-05,0.0378,12,0.527,0.605,1.45,0.0096,0.0092,0.00024,2.6
12,12,KNN,auto,81,uncalibrated,1,0.0379721026778708,2.85054844147019E-05,0.0378,12,0.68,0.613,1.396,0.0099,0.0093,0.00017,2.708
