feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,Logistic Regression,uncalibrated,0.036,9.31546726531331E-10,8.21007350202469E-11
20,20,Logistic Regression,uncalibrated,0.0366,1.29766539453451E-07,5.19303651117185E-08
20,20,Logistic Regression,uncalibrated,0.037,8.35156102960494E-05,6.95742177545822E-05
20,20,Logistic Regression,uncalibrated,0.0374,0.0129555317338818,0.0107230602590158
20,20,Logistic Regression,uncalibrated,0.0378,0.227536454218331,0.0460154135051376
20,20,Logistic Regression,uncalibrated,0.0382,0.870705469132116,0.0509019652666353
20,20,Logistic Regression,uncalibrated,0.0386,0.996802704568976,0.00169500818345347
20,20,Logistic Regression,uncalibrated,0.039,0.999999126734985,5.13234429289078E-07
20,20,Logistic Regression,uncalibrated,0.0394,0.999999960183627,1.52579377922273E-08
20,20,Logistic Regression,uncalibrated,0.0398,0.999999995856318,6.18004735581251E-10
20,20,Logistic Regression,uncalibrated,0.0402,0.999999993867396,2.00351779611196E-09
20,20,Logistic Regression,uncalibrated,0.041,0.999999998477953,3.55868691783215E-11
20,20,Logistic Regression C = 0.00175,calibrated,0.036,9.26453444487476E-05,2.14025195451258E-06
20,20,Logistic Regression C = 0.00175,calibrated,0.0366,0.000485770731761347,5.80623585465344E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.037,0.00636687814949705,0.00217308971072874
20,20,Logistic Regression C = 0.00175,calibrated,0.0374,0.0605906905925061,0.0279704044992198
20,20,Logistic Regression C = 0.00175,calibrated,0.0378,0.259995571411285,0.0318833217273037
20,20,Logistic Regression C = 0.00175,calibrated,0.0382,0.761236417774674,0.0780003250394444
20,20,Logistic Regression C = 0.00175,calibrated,0.0386,0.943946801734337,0.0212689907402348
20,20,Logistic Regression C = 0.00175,calibrated,0.039,0.998084502737674,0.000821439844853222
20,20,Logistic Regression C = 0.00175,calibrated,0.0394,0.99936748211479,9.15029208600516E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.0398,0.999734411481518,1.36968407278567E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.0402,0.999689759852704,4.55075107544944E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.041,0.999823589478704,1.73742985431016E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,0.036,1.03536559288583E-09,9.00892989252836E-11
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0366,1.37886569900559E-07,5.45757053029268E-08
20,20,Logistic Regression C = 0.00175,uncalibrated,0.037,8.45860143469313E-05,7.01725311626993E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.0128030867983317,0.0105749886991075
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.224996882076752,0.0456435911730189
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.868596258806447,0.0515806078112267
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.996624387830219,0.00178360736787834
20,20,Logistic Regression C = 0.00175,uncalibrated,0.039,0.999999019840309,5.75681894210423E-07
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0394,0.999999954129734,1.74211434493822E-08
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0398,0.999999995129499,7.19229474333188E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0402,0.999999992815453,2.3318391106919E-09
20,20,Logistic Regression C = 0.00175,uncalibrated,0.041,0.999999998196919,4.18395906066628E-11
20,20,Decision Tree,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
20,20,Decision Tree,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
20,20,Decision Tree,calibrated,0.037,0.000221650878584332,1.051173006585E-18
20,20,Decision Tree,calibrated,0.0374,0.000221650878584334,1.19692678976814E-18
20,20,Decision Tree,calibrated,0.0378,0.000221650878584334,1.051173006585E-18
20,20,Decision Tree,calibrated,0.0382,0.100951646399522,0.100134243955763
20,20,Decision Tree,calibrated,0.0386,0.387092926120266,0.251933273181302
20,20,Decision Tree,calibrated,0.039,0.999363345207872,0.000287952903913578
20,20,Decision Tree,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
20,20,Decision Tree,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
20,20,Decision Tree,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
20,20,Decision Tree,calibrated,0.041,0.999804824711357,3.92208970471224E-15
20,20,Decision Tree,uncalibrated,0.036,0,0
20,20,Decision Tree,uncalibrated,0.0366,0,0
20,20,Decision Tree,uncalibrated,0.037,0,0
20,20,Decision Tree,uncalibrated,0.0374,0,0
20,20,Decision Tree,uncalibrated,0.0378,0,0
20,20,Decision Tree,uncalibrated,0.0382,0.09693,0.09677
20,20,Decision Tree,uncalibrated,0.0386,0.376471200916571,0.253921466513905
20,20,Decision Tree,uncalibrated,0.039,0.999572138387957,0.000292591940768205
20,20,Decision Tree,uncalibrated,0.0394,1,0
20,20,Decision Tree,uncalibrated,0.0398,1,0
20,20,Decision Tree,uncalibrated,0.0402,1,0
20,20,Decision Tree,uncalibrated,0.041,1,0
20,20,Random Forest,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
20,20,Random Forest,calibrated,0.0366,0.000293928726148364,3.31389495857763E-05
20,20,Random Forest,calibrated,0.037,0.00295095547715326,0.000403297042915118
20,20,Random Forest,calibrated,0.0374,0.00531518236722543,0.000319185856387582
20,20,Random Forest,calibrated,0.0378,0.0717831517946874,0.0228274084173999
20,20,Random Forest,calibrated,0.0382,0.593316112897279,0.0836821767357466
20,20,Random Forest,calibrated,0.0386,0.821015361908793,0.0712295119855236
20,20,Random Forest,calibrated,0.039,0.998933600264227,0.000589911238522201
20,20,Random Forest,calibrated,0.0394,0.999799746071491,4.74570424492099E-06
20,20,Random Forest,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
20,20,Random Forest,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
20,20,Random Forest,calibrated,0.041,0.999804824711357,3.92208970471224E-15
20,20,Random Forest,uncalibrated,0.036,0,0
20,20,Random Forest,uncalibrated,0.0366,0.0044763,0.00170340267340925
20,20,Random Forest,uncalibrated,0.037,0.116007337653162,0.0138680130806032
20,20,Random Forest,uncalibrated,0.0374,0.1864643,0.0039985
20,20,Random Forest,uncalibrated,0.0378,0.234667765878058,0.0137127284782095
20,20,Random Forest,uncalibrated,0.0382,0.5039979,0.0425652032501118
20,20,Random Forest,uncalibrated,0.0386,0.630222372669514,0.0617030517654411
20,20,Random Forest,uncalibrated,0.039,0.96896445785349,0.0203511442657934
20,20,Random Forest,uncalibrated,0.0394,0.999546927583199,0.000408049525280888
20,20,Random Forest,uncalibrated,0.0398,1,0
20,20,Random Forest,uncalibrated,0.0402,1,0
20,20,Random Forest,uncalibrated,0.041,1,0
20,20,Gradient Boosted Trees,calibrated,0.036,0.000221650852704149,9.19177112777249E-19
