feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,auto,51,uncalibrated,0.0398,0,0
30,30,KNN,auto,51,uncalibrated,0.0402,0,0
30,30,KNN,auto,51,uncalibrated,0.041,0,0
30,30,KNN,auto,61,uncalibrated,0.036,0,0
30,30,KNN,auto,61,uncalibrated,0.0366,0,0
30,30,KNN,auto,61,uncalibrated,0.037,0,0
30,30,KNN,auto,61,uncalibrated,0.0374,0.000280044099248726,0.000279493384063463
30,30,KNN,auto,61,uncalibrated,0.0378,0.120579293024437,0.0296881361272546
30,30,KNN,auto,61,uncalibrated,0.0382,0.0895948452762212,0.0353480503375279
30,30,KNN,auto,61,uncalibrated,0.0386,3.72487288486486E-05,3.72487288486479E-05
30,30,KNN,auto,61,uncalibrated,0.039,0,0
30,30,KNN,auto,61,uncalibrated,0.0394,0,0
30,30,KNN,auto,61,uncalibrated,0.0398,0,0
30,30,KNN,auto,61,uncalibrated,0.0402,0,0
30,30,KNN,auto,61,uncalibrated,0.041,0,0
30,30,KNN,auto,81,uncalibrated,0.036,0,0
30,30,KNN,auto,81,uncalibrated,0.0366,0,0
30,30,KNN,auto,81,uncalibrated,0.037,0,0
30,30,KNN,auto,81,uncalibrated,0.0374,0.000339312581329244,0.00033876140695544
30,30,KNN,auto,81,uncalibrated,0.0378,0.123081275365321,0.0297456874860388
30,30,KNN,auto,81,uncalibrated,0.0382,0.0875358543653504,0.0350254669804496
30,30,KNN,auto,81,uncalibrated,0.0386,3.92824201741992E-05,3.92824201741939E-05
30,30,KNN,auto,81,uncalibrated,0.039,0,0
30,30,KNN,auto,81,uncalibrated,0.0394,0,0
30,30,KNN,auto,81,uncalibrated,0.0398,0,0
30,30,KNN,auto,81,uncalibrated,0.0402,0,0
30,30,KNN,auto,81,uncalibrated,0.041,0,0
30,30,KNN,auto,101,uncalibrated,0.036,0,0
30,30,KNN,auto,101,uncalibrated,0.0366,0,0
30,30,KNN,auto,101,uncalibrated,0.037,0,0
30,30,KNN,auto,101,uncalibrated,0.0374,0.000444028889904176,0.000443130232263393
30,30,KNN,auto,101,uncalibrated,0.0378,0.125366689432712,0.0297465247204329
30,30,KNN,auto,101,uncalibrated,0.0382,0.0862382741038122,0.0347665508967305
30,30,KNN,auto,101,uncalibrated,0.0386,3.2451953983803E-05,3.2451953983803E-05
30,30,KNN,auto,101,uncalibrated,0.039,0,0
30,30,KNN,auto,101,uncalibrated,0.0394,0,0
30,30,KNN,auto,101,uncalibrated,0.0398,0,0
30,30,KNN,auto,101,uncalibrated,0.0402,0,0
30,30,KNN,auto,101,uncalibrated,0.041,0,0
30,30,KNN,auto,151,uncalibrated,0.036,0,0
30,30,KNN,auto,151,uncalibrated,0.0366,0,0
30,30,KNN,auto,151,uncalibrated,0.037,0,0
30,30,KNN,auto,151,uncalibrated,0.0374,0.00059034670418886,0.000588824533757697
30,30,KNN,auto,151,uncalibrated,0.0378,0.129775520398227,0.0299122488419821
30,30,KNN,auto,151,uncalibrated,0.0382,0.0835115048414781,0.0342851856755867
30,30,KNN,auto,151,uncalibrated,0.0386,1.81358979603076E-05,1.81358979603043E-05
30,30,KNN,auto,151,uncalibrated,0.039,0,0
30,30,KNN,auto,151,uncalibrated,0.0394,0,0
30,30,KNN,auto,151,uncalibrated,0.0398,0,0
30,30,KNN,auto,151,uncalibrated,0.0402,0,0
30,30,KNN,auto,151,uncalibrated,0.041,0,0
30,30,KNN,auto,201,uncalibrated,0.036,0,0
30,30,KNN,auto,201,uncalibrated,0.0366,0,0
30,30,KNN,auto,201,uncalibrated,0.037,0,0
30,30,KNN,auto,201,uncalibrated,0.0374,0.000694466238715695,0.000692649950940848
30,30,KNN,auto,201,uncalibrated,0.0378,0.132925638393298,0.0298423259775896
30,30,KNN,auto,201,uncalibrated,0.0382,0.0817930271903454,0.0340317094401954
30,30,KNN,auto,201,uncalibrated,0.0386,1.25035182093335E-05,1.25035182093329E-05
30,30,KNN,auto,201,uncalibrated,0.039,0,0
30,30,KNN,auto,201,uncalibrated,0.0394,0,0
