feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,SVM (RBF),uncalibrated,0.0402,0.735259423733974,0.00368358224710391
20,20,SVM (RBF),uncalibrated,0.041,0.744527793138535,0.000218826421243268
20,20,Neural Network,calibrated,0.036,0.000221646458649744,4.24800646935353E-10
20,20,Neural Network,calibrated,0.0366,0.000221820019056825,4.54542677723553E-08
20,20,Neural Network,calibrated,0.037,0.000481174020693632,0.000250651632508279
20,20,Neural Network,calibrated,0.0374,0.0393488101247155,0.0283666709011585
20,20,Neural Network,calibrated,0.0378,0.309549149529605,0.0478326540264557
20,20,Neural Network,calibrated,0.0382,0.90338145070589,0.0399466320978259
20,20,Neural Network,calibrated,0.0386,0.999328089034752,0.000322576030799982
20,20,Neural Network,calibrated,0.039,0.99980470805617,6.35236362955816E-08
20,20,Neural Network,calibrated,0.0394,0.999804809218762,4.3740771131151E-09
20,20,Neural Network,calibrated,0.0398,0.999804821954393,1.09544072915978E-09
20,20,Neural Network,calibrated,0.0402,0.999804822257678,1.35074063045693E-09
20,20,Neural Network,calibrated,0.041,0.999804825788218,6.35928873448596E-11
20,20,Neural Network,uncalibrated,0.036,1.13400355782395E-06,2.63218357084041E-08
20,20,Neural Network,uncalibrated,0.0366,6.80459509448108E-06,1.00085928329338E-06
20,20,Neural Network,uncalibrated,0.037,0.000317093321209676,0.000208848961307704
20,20,Neural Network,uncalibrated,0.0374,0.0216936772933837,0.0165853528249273
20,20,Neural Network,uncalibrated,0.0378,0.263836879766972,0.0472270984684974
20,20,Neural Network,uncalibrated,0.0382,0.878063998995376,0.0473224776127452
20,20,Neural Network,uncalibrated,0.0386,0.995383094899316,0.00224479481670024
20,20,Neural Network,uncalibrated,0.039,0.999988531953165,5.59699425600746E-06
20,20,Neural Network,uncalibrated,0.0394,0.999997577953568,4.33432181679598E-07
20,20,Neural Network,uncalibrated,0.0398,0.999998619887245,2.75614090510731E-07
20,20,Neural Network,uncalibrated,0.0402,0.999998985805846,1.2987054298641E-07
20,20,Neural Network,uncalibrated,0.041,0.999999352145794,1.55379460128067E-08
12,12,Logistic Regression,calibrated,0.036,0.000145847940521252,3.73449474533277E-06
