feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,mean,mean_err
30,30,KNN,auto,81,uncalibrated,0.0374,0.000840346519358865,0.000840346519358865
30,30,KNN,auto,81,uncalibrated,0.0378,0.173703453284251,0.05039545040166
30,30,KNN,auto,81,uncalibrated,0.0382,0.889777777777779,0.047609442365247
30,30,KNN,auto,81,uncalibrated,0.0386,0.999787874931091,0.000212125068940682
30,30,KNN,auto,81,uncalibrated,0.039,1,0
30,30,KNN,auto,81,uncalibrated,0.0394,1,0
30,30,KNN,auto,81,uncalibrated,0.0398,1,0
30,30,KNN,auto,81,uncalibrated,0.0402,1,0
30,30,KNN,auto,81,uncalibrated,0.041,1,0
30,30,KNN,auto,101,uncalibrated,0.036,0,0
30,30,KNN,auto,101,uncalibrated,0.0366,0,0
30,30,KNN,auto,101,uncalibrated,0.037,0,0
30,30,KNN,auto,101,uncalibrated,0.0374,0.00102082280300102,0.00102082280300102
30,30,KNN,auto,101,uncalibrated,0.0378,0.178257988070612,0.0510012518719467
30,30,KNN,auto,101,uncalibrated,0.0382,0.891544554455446,0.0471372384809928
30,30,KNN,auto,101,uncalibrated,0.0386,0.999807197214599,0.000192802785433153
30,30,KNN,auto,101,uncalibrated,0.039,1,0
30,30,KNN,auto,101,uncalibrated,0.0394,1,0
30,30,KNN,auto,101,uncalibrated,0.0398,1,0
30,30,KNN,auto,101,uncalibrated,0.0402,1,0
30,30,KNN,auto,101,uncalibrated,0.041,1,0
30,30,KNN,auto,151,uncalibrated,0.036,0,0
30,30,KNN,auto,151,uncalibrated,0.0366,0,0
30,30,KNN,auto,151,uncalibrated,0.037,0,0
30,30,KNN,auto,151,uncalibrated,0.0374,0.00126616682908074,0.00126616682908074
30,30,KNN,auto,151,uncalibrated,0.0378,0.187169710348518,0.052244408318817
30,30,KNN,auto,151,uncalibrated,0.0382,0.895456953642384,0.0461139608383399
30,30,KNN,auto,151,uncalibrated,0.0386,0.999855867337273,0.000144132662737228
30,30,KNN,auto,151,uncalibrated,0.039,1,0
30,30,KNN,auto,151,uncalibrated,0.0394,1,0
30,30,KNN,auto,151,uncalibrated,0.0398,1,0
30,30,KNN,auto,151,uncalibrated,0.0402,1,0
30,30,KNN,auto,151,uncalibrated,0.041,1,0
30,30,KNN,auto,201,uncalibrated,0.036,0,0
30,30,KNN,auto,201,uncalibrated,0.0366,0,0
30,30,KNN,auto,201,uncalibrated,0.037,0,0
30,30,KNN,auto,201,uncalibrated,0.0374,0.001379488941678,0.001379488941678
30,30,KNN,auto,201,uncalibrated,0.0378,0.193075028895925,0.0531567034514737
30,30,KNN,auto,201,uncalibrated,0.0382,0.897845771144279,0.0454752699863893
30,30,KNN,auto,201,uncalibrated,0.0386,0.999880323468557,0.000119676531432237
30,30,KNN,auto,201,uncalibrated,0.039,1,0
30,30,KNN,auto,201,uncalibrated,0.0394,1,0
30,30,KNN,auto,201,uncalibrated,0.0398,1,0
30,30,KNN,auto,201,uncalibrated,0.0402,1,0
30,30,KNN,auto,201,uncalibrated,0.041,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0378,0.135353535353536,0.0423534479911365
30,30,KNN,kd_tree,1,uncalibrated,0.0382,0.868,0.0547965935680921
30,30,KNN,kd_tree,1,uncalibrated,0.0386,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.039,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.0394,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.0398,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.0402,1,0
30,30,KNN,kd_tree,1,uncalibrated,0.041,1,0
30,30,KNN,kd_tree,3,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0378,0.132183908045977,0.0419469600508615
30,30,KNN,kd_tree,3,uncalibrated,0.0382,0.866666666666667,0.0561585058364071
30,30,KNN,kd_tree,3,uncalibrated,0.0386,0.999236349751824,0.000763650248186389
30,30,KNN,kd_tree,3,uncalibrated,0.039,1,0
30,30,KNN,kd_tree,3,uncalibrated,0.0394,1,0
30,30,KNN,kd_tree,3,uncalibrated,0.0398,1,0
30,30,KNN,kd_tree,3,uncalibrated,0.0402,1,0
30,30,KNN,kd_tree,3,uncalibrated,0.041,1,0
30,30,KNN,kd_tree,5,uncalibrated,0.036,0,0
