feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,31,uncalibrated,4.82,0.998452264581275,0.0013134475931818152
30,30,KNN,auto,31,uncalibrated,4.83,0.9996799795186893,0.0002083822400933696
30,30,KNN,auto,31,uncalibrated,4.84,0.9993232573877735,0.0006767426122264442
30,30,KNN,auto,31,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.73,0.00031080031080031145,0.0001766146295905964
30,30,KNN,auto,33,uncalibrated,4.74,0.014268902618417182,0.008384819064430716
30,30,KNN,auto,33,uncalibrated,4.75,0.07787174066243598,0.012593184466483538
30,30,KNN,auto,33,uncalibrated,4.76,0.22829647829647828,0.02526183874706776
30,30,KNN,auto,33,uncalibrated,4.77,0.49975562072336266,0.020062453847316895
30,30,KNN,auto,33,uncalibrated,4.78,0.7226010101010105,0.023348573702828196
30,30,KNN,auto,33,uncalibrated,4.79,0.9115495728071793,0.012520584291891831
30,30,KNN,auto,33,uncalibrated,4.81,0.9936965070552859,0.0049155678926671165
30,30,KNN,auto,33,uncalibrated,4.82,0.9984695439241111,0.0013096769273994791
30,30,KNN,auto,33,uncalibrated,4.83,0.9996993746993742,0.00019575301342106779
30,30,KNN,auto,33,uncalibrated,4.84,0.9993112947658402,0.0006887052341597588
30,30,KNN,auto,33,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,33,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.73,0.00043731778425655943,0.00023429666571897367
30,30,KNN,auto,35,uncalibrated,4.74,0.014285714285714285,0.008321775312066572
30,30,KNN,auto,35,uncalibrated,4.75,0.07749169435215829,0.012532944632537043
30,30,KNN,auto,35,uncalibrated,4.76,0.2287644787644787,0.02493438366029638
30,30,KNN,auto,35,uncalibrated,4.77,0.5002304147465438,0.020085368111051452
30,30,KNN,auto,35,uncalibrated,4.78,0.7233333333333326,0.023653257035874453
30,30,KNN,auto,35,uncalibrated,4.79,0.9117936829904358,0.012378313761746387
30,30,KNN,auto,35,uncalibrated,4.81,0.9938386041439478,0.004634678298800432
30,30,KNN,auto,35,uncalibrated,4.82,0.9985569985569769,0.0012348382458337876
